indicator_code,indicator_name,unit,source_note,source_org,topic_ids
DT.DOD.DIMF.CD,"Use of IMF credit (DOD, current US$)",,"Use of IMF Credit: Data related to the operations of the IMF are provided by the IMF Treasurer’s Department. They are converted from special drawing rights into dollars using end-of-period exchange rates for stocks and average-over-the-period exchange rates for flows. IMF trust fund operations under the Enhanced Structural Adjustment Facility, Extended Fund Facility, Poverty Reduction and Growth Facility, and Structural Adjustment Facility (Enhanced Structural Adjustment Facility in 1999) are presented together with all of the IMF’s special facilities (buffer stock, supplemental reserve, compensatory and contingency facilities, oil facilities, and other facilities). SDR allocations are also included in this category. According to the BPM6, SDR allocations are recorded as the incurrence of a debt liability of the member receiving them (because of a requirement to repay the allocation in certain circumstances, and also because interest accrues). This debt item is introduced for the first time this year with historical data starting in 1999.","International Debt Statistics, World Bank (WB)",20
DT.DOD.DLXF.CD,"External debt stocks, long-term (DOD, current US$)",,"Long-term debt is debt that has an original or extended maturity of more than one year. It has three components: public, publicly guaranteed, and private nonguaranteed debt. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",20
DT.DOD.DOPS.CD,"External debt stocks, other public sector (PPG) (DOD, current US$)",,"Other Public Sector debt comprises long-term external obligations of public debtors, excluding general government. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",,Private nonguaranteed external debt comprises long-term external obligations of private debtors that are not guaranteed for repayment by a public entity. Data are in current U.S. dollars.,"International Debt Statistics, World Bank (WB)",20
DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",,"Public and publicly guaranteed debt comprises long-term external obligations of public debtors, including the national government,  Public Corporations, State Owned Enterprises, Development Banks and Other Mixed Enterprises, political subdivisions (or an agency of either), autonomous public bodies, and external obligations of private debtors that are guaranteed for repayment by a public entity. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",20
DT.DOD.DSDR.CD,"SDR allocations (DOD, current US$)",,"SDR allocations are also included in this category. According to the BPM6, SDR allocations are recorded as the incurrence of a debt liability of the member receiving them (because of a requirement to repay the allocation in certain circumstances, and also because interest accrues). This debt item is introduced for the first time this year with historical data starting in 1999.","World Bank, International Debt Statistics.",20
DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)",,Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Data are in current U.S. dollars.,"International Debt Statistics, World Bank (WB)",20
DT.DOD.DSTC.IR.ZS,Short-term debt (% of total reserves),,Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. Total reserves includes gold.,"World Development Indicators, World Bank (WB);
International Monetary Fund (IMF), type: Balance of Payments Statistics Yearbook and data files;
World Bank (WB), type: GDP estimates;
Organisation for Economic Co-operation and Development (OECD), type: GDP estimates",3
DT.DOD.DSTC.XP.ZS,"Short-term debt (% of exports of goods, services and primary income)",,"Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Exports of goods, services and primary income is the sum of goods (merchandise) exports, exports of (nonfactor) services and income (factor) receipts.","International Debt Statistics, World Bank (WB)",3
DT.DOD.DSTC.ZS,Short-term debt (% of total external debt),,"Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. Total external debt is debt owed to nonresidents repayable in currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, use of IMF credit, and short-term debt.","International Debt Statistics, World Bank (WB)",20
DT.DOD.MDRI.CD,Debt forgiveness grants (current US$),,Debt forgiveness grants data cover both debt cancelled by agreement between debtor and creditor and a reduction in the net present value of non-ODA debt achieved by concessional rescheduling or refinancing. The  data are on a disbursement basis and cover flows from all bilateral and multilateral donors. Data are in current U.S. dollars.,Development Assistance Committee of the Organisation for Economic Co-operation and Development.,20
DT.DOD.MIBR.CD,"PPG, IBRD (DOD, current US$)",,Public and publicly guaranteed debt outstanding from the International Bank for Reconstruction and Development (IBRD) is nonconcessional. Nonconcessional debt excludes loans with an original grant element of 35 percent or more. Data are in current U.S. dollars.,"International Debt Statistics, World Bank (WB)",20
DT.DOD.MIDA.CD,"PPG, IDA (DOD, current US$)",,"Public and publicly guaranteed debt outstanding from the International Development Association (IDA) is concessional. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",20
DT.DOD.MLAT.CD,"PPG, multilateral (DOD, current US$)",,"Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.MLAT.GG.CD,"GG, multilateral (DOD, current US$)",,"General government multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.MLAT.OPS.CD,"OPS, multilateral (DOD, current US$)",,"Other public sector multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.MLAT.PRVG.CD,"PRVG, multilateral (DOD, current US$)",,"Private sector guaranteed by public sector multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.MLAT.PS.CD,"PS, multilateral (DOD, current US$)",,"Public sector multilateral creditors are international financial institutions such as the World Bank, regional development banks, and other multilateral and intergovernmental agencies whose lending is administered on a multilateral basis. Funds administered by an international financial organization on behalf of a single donor government constitute bilateral loans (or grants). For lending by a number of multilateral creditors, the data presented in this publication are taken from the creditors’ records. Such creditors include the African Development Bank, the Asian Development Bank, the IDB, IBRD, and IDA. (IBRD and IDA are institutions of the World Bank.) Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.MLAT.ZS,Multilateral debt (% of total external debt),,Multilateral debt to total external debt stocks.,"World Bank, International Debt Statistics.",20
DT.DOD.MLTC.CD,"PPG, multilateral concessional (DOD, current US$)",,"Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.MLTC.GG.CD,"GG, multilateral concessional (DOD, current US$)",,"General government  multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.MLTC.OPS.CD,"OPS, multilateral concessional (DOD, current US$)",,"Other public sector multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.MLTC.PRVG.CD,"PRVG, multilateral concessional (DOD, current US$)",,"Private sector guaranteed by public sector multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.MLTC.PS.CD,"PS, multilateral concessional (DOD, current US$)",,"Public sector guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.MWBG.CD,"IBRD loans and IDA credits (DOD, current US$)",,IBRD loans and IDA credits are public and publicly guaranteed debt extended by the World Bank Group. The International Bank for Reconstruction and Development (IBRD) lends at market rates. Credits from the International Development Association (IDA) are at concessional rates. Data are in current U.S. dollars.,"International Debt Statistics, World Bank (WB)",20
DT.DOD.OFFT.CD,"PPG, official creditors (DOD, current US$)",,"Public and publicly guaranteed debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.OFFT.GG.CD,"GG, official creditors (DOD, current US$)",,"General government debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.OFFT.OPS.CD,"OPS, official creditors (DOD, current US$)",,"Other public sector  debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.OFFT.PRVG.CD,"PRVG, official creditors (DOD, current US$)",,"Private sector guaranteed by public sector debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.OFFT.PS.CD,"PS, official creditors (DOD, current US$)",,"Public sector debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.PBND.CD,"PPG, bonds (DOD, current US$)",,Public and publicly guaranteed debt from bonds that are either publicly issued or privately placed. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",20
DT.DOD.PBND.GG.CD,"GG, bonds (DOD, current US$)",,General government  debt from bonds that are either publicly issued or privately placed. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",20
DT.DOD.PBND.OPS.CD,"OPS, bonds (DOD, current US$)",,Other public sector  debt from bonds that are either publicly issued or privately placed. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",20
DT.DOD.PBND.PRVG.CD,"PRVG, bonds (DOD, current US$)",,Private sector guaranteed by public sector debt from bonds that are either publicly issued or privately placed. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",20
DT.DOD.PBND.PS.CD,"PS, bonds (DOD, current US$)",,Public sector debt from bonds that are either publicly issued or privately placed. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",20
DT.DOD.PCBK.CD,"PPG, commercial banks (DOD, current US$)",,Public and publicly guaranteed commercial bank loans from private banks and other private financial institutions. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",20
DT.DOD.PCBK.GG.CD,"GG, commercial banks (DOD, current US$)",,General government  commercial bank loans from private banks and other private financial institutions. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",20
DT.DOD.PCBK.OPS.CD,"OPS, commercial banks (DOD, current US$)",,Other public sector commercial bank loans from private banks and other private financial institutions. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",20
DT.DOD.PCBK.PRVG.CD,"PRVG, commercial banks (DOD, current US$)",,Private sector guaranteed by public sector commercial bank loans from private banks and other private financial institutions. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",20
DT.DOD.PCBK.PS.CD,"PS, commercial banks (DOD, current US$)",,Commercial bank loans are loans from private banks and other private financial institutions. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",20
DT.DOD.PNGB.CD,"PNG, bonds (DOD, current US$)",,Nonguaranteed long-term debt from bonds that are privately placed. Private nonguaranteed long-term debt outstanding and disbursed is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",20
DT.DOD.PNGC.CD,"PNG, commercial banks and other creditors (DOD, current US$)",,Nonguaranteed long-term commercial bank loans from private banks and other private financial institutions. Private nonguaranteed long-term debt outstanding and disbursed is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",20
DT.DOD.PROP.CD,"PPG, other private creditors (DOD, current US$)",,"Public and publicly guaranteed other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.PROP.GG.CD,"GG, other private creditors (DOD, current US$)",,"General government other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.PROP.OPS.CD,"OPS, other private creditors (DOD, current US$)",,"Other public sector  other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.PROP.PRVG.CD,"PRVG, other private creditors (DOD, current US$)",,"Private sector guaranteed by public sector other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.PROP.PS.CD,"PS, other private creditors (DOD, current US$)",,"Public sector other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.PRPG.CD,"External debt stocks, private guaranteed by public sector (PPG) (DOD, current US$)",,Private sector guaranteed by Public Sector debt comprises external obligations of private debtors that are guaranteed for repayment by a public entity. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",20
DT.DOD.PRVS.CD,"External debt stocks, long-term private sector (DOD, current US$)",,"Long-term private sector external debt conveys information about the distribution of long-term debt for DRS countries by type of debtor (private banks and private entities). Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.PRVT.CD,"PPG, private creditors (DOD, current US$)",,"Public and publicly guaranteed debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.PRVT.GG.CD,"GG, private creditors (DOD, current US$)",,"General government debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.PRVT.OPS.CD,"OPS, private creditors (DOD, current US$)",,"Other public sector  debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.PRVT.PRVG.CD,"PRVG, private creditors (DOD, current US$)",,"Private sector guaranteed by public sector debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.PRVT.PS.CD,"PS, private creditors (DOD, current US$)",,"Private creditors include commercial banks, bondholders, and other private creditors. This line includes only publicly guaranteed creditors. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.PUBS.CD,"External debt stocks, long-term public sector (DOD, current US$)",,"Long-term public sector external debt conveys information about the distribution of long-term debt for DRS countries by type of debtor (central government, state and local government, central bank, public and mixed enterprises, and official development banks). Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.PVLX.CD,Present value of external debt (current US$),,"Present value of debt is the sum of short-term external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed long-term external debt over the life of existing loans. This calculation assumes that the PV of loans with a negative grant element is equal to the nominal value of the loan. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB), uri: https://www.worldbank.org/en/programs/debt-statistics",3
DT.DOD.PVLX.EX.ZS,"Present value of external debt (% of exports of goods, services and primary income)",,"Present value of external debt to exports of goods, services and income. Present value of debt is the sum of short-term external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed long-term external debt over the life of existing loans. This calculation assumes that the PV of loans with a negative grant element is equal to the nominal value of the loan. Exports of goods, services and primary income is the sum of goods (merchandise) exports, exports of (nonfactor) services and income (factor) receipts. The exports denominator is a three-year average.","International Debt Statistics, World Bank (WB), uri: https://www.worldbank.org/en/programs/debt-statistics",3
DT.DOD.PVLX.GN.ZS,Present value of external debt (% of GNI),,"Present value of external debt to gross national income. Present value of debt is the sum of short-term external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed long-term external debt over the life of existing loans. This calculation assumes that the PV of loans with a negative grant element is equal to the nominal value of the loan. GNI (formerly GNP) is the sum of value added by all resident producers plus any product taxes (less subsidies) not included in the valuation of output plus net receipts of primary income (compensation of employees and property income) from abroad. The GNI denominator is a three-year average.","International Debt Statistics, World Bank (WB), uri: https://www.worldbank.org/en/programs/debt-statistics",3
DT.DOD.RSDL.CD,"Residual, debt stock-flow reconciliation (current US$)",,"The residual difference, i.e. the change in stock not explained by any of the factors identified under debt stock-flow reconciliation, is calculated as the sum of identified accounts minus the change in stock. Where the latter is large it can, in some cases, serve as an illustration of the inconsistencies in the reported data. More often however, it can be explained by specific borrowing phenomenon in individual countries. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DOD.VTOT.CD,"External debt stocks, variable rate (DOD, current US$)",,"Variable interest rate is long-term external debt with interest rates that float with movements in a key market rate; for example, the London interbank offered rate (LIBOR) or the U.S. prime rate. This item conveys information about the borrower's exposure to changes in international interest rates. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DSB.DPPG.CD,Debt buyback (current US$),,"Debt buyback is the repurchase by a debtor of its own debt, discounted or at par. In the event of a buyback of long-term debt, the face value of the debt bought back will be recorded as a decline in the long-term debt stock, and the cash amount received by creditors will be recorded as a principal repayment. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DSF.DPPG.CD,Debt stock reduction (current US$),,"Debt stock reductions show the amount that has been netted out of the stock of debt using debt conversion schemes such as buybacks and equity swaps or the discounted value of long-term bonds that were issued in exchange for outstanding debt. It includes the effect of any financial operation that will reduce the debt stock other than debt stock restructuring, repayment of principal and debt forgiven. In particular, debt stock reduction will include the face value of debt bought back, the face value of debt swapped for equity (or ""nature"" or ""development""), any face value reduction that might result as the consequence of a bond exchange, and any face value reduction resulting from an exchange of debt for discount bonds. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.DXR.DPPG.CD,Debt stock rescheduled (current US$),,Debt stocks rescheduled is the amount of debt outstanding rescheduled in any given year. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",20
DT.GPA.DPPG,Average grace period on new external debt commitments (years),,"Grace period is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. To obtain the average, the grace periods for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity.","World Bank, International Debt Statistics.",20
DT.GPA.OFFT,"Average grace period on new external debt commitments, official (years)",,"Grace period is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. To obtain the average, the grace periods for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies.","World Bank, International Debt Statistics.",20
DT.GPA.PRVT,"Average grace period on new external debt commitments, private (years)",,"Grace period is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. To obtain the average, the grace periods for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency.","World Bank, International Debt Statistics.",20
DT.GRE.DPPG,Average grant element on new external debt commitments (%),,"The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. To obtain the average, the grant elements for all public and publicly guaranteed loans have been weighted by the amounts of the loans. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Commitments cover the total amount of loans for which contracts were signed in the year specified. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Data for private nonguaranteed debt are not available.","World Bank, International Debt Statistics.",20
DT.GRE.OFFT,"Average grant element on new external debt commitments, official (%)",,"The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. To obtain the average, the grant elements for all public and publicly guaranteed loans have been weighted by the amounts of the loans. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Commitments cover the total amount of loans for which contracts were signed in the year specified. Debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies.","World Bank, International Debt Statistics.",20
DT.GRE.PRVT,"Average grant element on new external debt commitments, private (%)",,"The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. To obtain the average, the grant elements for all public and publicly guaranteed loans have been weighted by the amounts of the loans. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Commitments cover the total amount of loans for which contracts were signed in the year specified. Debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency.","World Bank, International Debt Statistics.",20
DT.INR.DPPG,Average interest on new external debt commitments (%),,"Interest represents the average interest rate on all new public and publicly guaranteed loans contracted during the year. To obtain the average, the interest rates for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity.","World Bank, International Debt Statistics.",20
DT.INR.OFFT,"Average interest on new external debt commitments, official (%)",,"Interest represents the average interest rate on all new public and publicly guaranteed loans contracted during the year. To obtain the average, the interest rates for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies.","World Bank, International Debt Statistics.",20
DT.INR.PRVT,"Average interest on new external debt commitments, private (%)",,"Interest represents the average interest rate on all new public and publicly guaranteed loans contracted during the year. To obtain the average, the interest rates for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency.","World Bank, International Debt Statistics.",20
DT.INT.BLAT.CD,"PPG, bilateral (INT, current US$)",,"Bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.INT.BLAT.GG.CD,"GG, bilateral (INT, current US$)",,"General government bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
DT.INT.BLAT.OPS.CD,"OPS, bilateral (INT, current US$)",,"Other public sector bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
